,Video_id,Video_Channel_title,Stats_Comment,Stats_Fav,Stats_Like,Stats_view
33,BTu_twv3fg0,Technical Guruji,620,0,14301,219037
34,w5IIAslXoXw,Technical Guruji,714,0,5962,64807
35,4PJ8B2lPnSY,Technical Guruji,767,0,8204,93769
36,g3U5l1uX5Gs,Technical Guruji,1772,0,34210,997615
37,m-qZZsjKoYQ,Technical Guruji,851,0,6376,65181
38,zY3SSWmSQcI,Technical Guruji,1071,0,15060,168975
39,brjtE2uxT50,Technical Guruji,754,0,7677,83891
40,2cUjrkhpS58,Technical Guruji,1408,0,35261,754844
41,iA38TJiPUHo,Technical Guruji,725,0,8744,104479
42,b31DHLMraGE,Technical Guruji,1305,0,27570,439878
43,OJMfKZdWI38,Technical Guruji,736,0,9308,111143
44,a2SYDeGRLJY,Technical Guruji,2149,0,56587,1184845
45,OUshYeXLFb4,Technical Guruji,742,0,10605,133165
46,i-3ZuGV9xoI,Technical Guruji,1572,0,51094,992097
47,RE67ecdjegY,Technical Guruji,723,0,6702,81047
48,_ZmVoXBIfqc,Technical Guruji,785,0,11545,148719
49,LgwZP7qXMko,Technical Guruji,1434,0,32800,618388
0,KF5hTnwx5jY,Technical Guruji,543,0,7476,81757
1,P-_nX_9DFkE,Technical Guruji,1965,0,49413,600410
2,1ILkUT6NVLc,Technical Guruji,582,0,7982,89693
3,tvNmtrHV3I8,Technical Guruji,576,0,7764,84163
4,j6UB6W1bmu8,Technical Guruji,696,0,9067,98309
5,nYL9_Qomh1A,Technical Guruji,653,0,9191,105785
6,Hf2mkyJdRR8,Technical Guruji,638,0,7852,90779
7,AaNBG4EWwZo,Technical Guruji,1521,0,44784,594131
8,KmZO5bPi-iI,Technical Guruji,730,0,8236,91424
9,ByMVX2gPtHQ,Technical Guruji,735,0,8661,100782
10,KgAgVrr-gWQ,Technical Guruji,839,0,5508,64567
11,597RUtnaS1g,Technical Guruji,949,0,12724,155118
12,1JN0pEoLdFI,Technical Guruji,909,0,8900,111841
13,0WcIsYoxyOc,Technical Guruji,735,0,8268,91618
14,9ydy6Nd90oE,Technical Guruji,1058,0,11151,136445
15,f6AEAMnYFTA,Technical Guruji,854,0,8994,94721
16,oGS5BIpJelI,Technical Guruji,992,0,17474,215436
17,iPcmBLxO5AQ,Technical Guruji,901,0,11516,125877
18,LETfwwj-U6I,Technical Guruji,689,0,9446,121458
19,cYexpwZx1zo,Technical Guruji,1020,0,10293,115165
20,iXwQWwPdpaM,Technical Guruji,811,0,19683,280918
21,PMSjM0YLzwQ,Technical Guruji,748,0,8760,100163
22,r6xVQwAgwuQ,Technical Guruji,823,0,15173,161557
23,XoedS7r02ow,Technical Guruji,732,0,5456,61553
24,shNzGQk3hho,Technical Guruji,855,0,9663,108221
25,TH3KRS7vnBc,Technical Guruji,1232,0,14640,131583
26,fEk21Eqzscw,Technical Guruji,955,0,10459,120168
27,qZpNEuORjdI,Technical Guruji,1252,0,19999,226426
28,KFBhNGwUUOk,Technical Guruji,1698,0,10047,102662
29,PkVmfpTtgQc,Technical Guruji,1239,0,16259,174321
30,nlFLIz-zWL4,Technical Guruji,718,0,9445,110492
31,yYhY9Wcmdj8,Technical Guruji,887,0,15164,219854
